mall,building,latitude,longitude
Paya Lebar Quarter (PLQ),PAYA LEBAR QUARTER,1.3161739,103.893139
Roxy Square,CITY SQUARE MALL,1.31142103107683,103.856624019991
Singpost Centre,SINGAPORE POST CENTRE,1.31899666903663,103.894894915962
Tampines 1,EASTLINK MALL,1.35435719591377,103.944305344915
Tampines Mall,TAMPINES MALL,1.35252737278519,103.944698751072
White Sands,WHITE COVE,1.41439964080026,103.902889355003
Elias Mall,AMAR KIDZ @ ELIAS MALL PTE. LTD.,1.37790533095468,103.94233582068
Loyang Point,LOYANG AVENUE PUMPING STATION,1.37316799974603,103.998160999626
888 Plaza,888 PLAZA,1.43712301500434,103.795314383823
Admiralty Place,ADMIRALTY FLORA,1.44004544492614,103.80611614062
AMK Hub,NIL,1.37813592073125,103.838825954367
Canberra Plaza,CANBERRA MRT STATION (NS12),1.44307664075699,103.829702590959
Causeway Point,NIL,1.26145665649561,103.824017265754
HDB Hub,HDB CENTRE OF BUILDING RESEARCH,1.45428714079221,103.800262079753
Broadway Plaza,BROADWAY FOOD CENTRE,1.33189434532343,103.867853678364
Jubilee Square,CITY SQUARE MALL,1.31142103107683,103.856624019991
Junction 8,BAHAR JUNCTION MRT STATION (JS7),1.34618225434114,103.703002254271
Junction Nine,BAHAR JUNCTION MRT STATION (JS7),1.34618225434114,103.703002254271
Marsiling Mall,MARSILING MALL HAWKER CENTRE,1.43354318137534,103.77988189197
Northpoint City,CITY HALL MRT STATION EXIT A,1.2932330759348,103.853021562271
Sembawang Shopping Centre,ANCHORPOINT SHOPPING CENTRE,1.28893477974497,103.805607779399
Sun Plaza,HOW SUN LINEAR PARK,1.34537498895161,103.878240452632
Vista Point,ALKAFF VISTA,1.33379529791336,103.87076344886
Wisteria Mall,WISTERIA MALL,1.41795288501536,103.841268831617
Woodlands Civic Centre,CIVIC TERRACE WAREHOUSE,1.33499330903527,103.894697367969
Woodlands Mart,LIGHT OF CHRIST CHURCH WOODLANDS,1.42653981910601,103.792987223691
Woodlands North Plaza,ADMIRALTY WEST PUMPING STATION,1.45040408597633,103.784706643694
Anchorvale Village,ANCHORVALE PLAINS,1.39311903129842,103.884596050602
Buangkok Square,BUANGKOK COURT,1.38227273503528,103.880129232731
Compass One,COMPASS GREEN,1.3597952580183,103.974913563714
Greenwich V,NIL,1.36963197682993,103.909250075015
Heartland Mall,HEARTLAND MALL-KOVAN,1.35954177325561,103.885167372726
Hougang 1,HOUGANG MALL,1.37249493810003,103.893775562605
Hougang Green Shopping Mall,HOUGANG GREEN SHOPPING MALL,1.3792452907016,103.887832017102
Hougang Mall,HOUGANG GREEN SHOPPING MALL,1.3792452907016,103.887832017102
NEX,THE VETERINARY CLINIC PTE LTD (NEX MALL BRANCH),1.35088882151724,103.87211567247
Northshore Plaza,NORTHSHORE COVE,1.41948523130721,103.906402724407
Oasis Terraces,ALKAFF OASIS,1.3346202905486,103.872757632088
Punggol Coast Mall,PUNGGOL COAST MALL,1.41470557625612,103.912635422712
Punggol Plaza,PULAU PUNGGOL TIMOR PUMPING STATION,1.42058928253818,103.911258573866
Rivervale Mall,RIVERVALE MALL,1.39219777838449,103.904471600025
Rivervale Plaza,RIVERVALE COURT,1.38262745864985,103.900929877213
Sengkang Grand Mall,SENGKANG GRAND MALL,1.38315193616746,103.892295809097
The Seletar Mall,THE SELETAR MALL,1.39147015374628,103.876125507257
Upper Serangoon Shopping Centre,CALTEX UPPER SERANGOON,1.35572352570845,103.880750271887
Waterway Point,PUNGGOL WATERWAY,1.40223327053212,103.915405276446
myVillage At Serangoon Garden,AFFINITY AT SERANGOON,1.36561118819445,103.872593876637
Beauty World Centre,BEAUTY WORLD CENTRE,1.34241264188642,103.776539385406
Beauty World Plaza,BEAUTY WORLD CENTRE,1.34241264188642,103.776539385406
Bukit Panjang Plaza,BUKIT PANJANG FLOVER,1.37601542824569,103.761935152799
Bukit Timah Plaza,BUKIT PANJANG MRT STATION,1.37956121236613,103.761188866252
Fajar Shopping Centre,FAJAR HILLS,1.38101722786729,103.769595216738
Greenridge Shopping Centre,GREENRIDGE,1.33488057759803,103.766578276073
Hillion Mall,HILLION MALL,1.37843100827586,103.762842789877
HillV2,HillV2,1.3626746,103.764173
Junction 10,BAHAR JUNCTION MRT STATION (JS7),1.34618225434114,103.703002254271
Keat Hong Shopping Centre,KEAT HONG CREST,1.37584281436757,103.743195889916
Limbang Shopping Centre,LIMBANG GREEN,1.39411509589311,103.745240617329
Lot One,"LOT ONE, SHOPPERS' MALL",1.38497459672379,103.745011766388
Rail Mall,THE RAIL MALL,1.35801064169323,103.7679353154
Sunshine Place,SUNSHINE COURT,1.37706072838072,103.737985078061
Teck Whye Shopping Centre,NKF DIALYSIS CENTRE TECK WHYE,1.37805373450801,103.750693424497
West Mall,CATHAY CINEPLEX WEST MALL,1.35009714832628,103.74921385957
Yew Tee Point,HEART OF YEW TEE,1.3971942776408,103.745922751197
Yew Tee Square,HEART OF YEW TEE,1.3971942776408,103.745922751197
VivoCity,VIVOCITY,1.2642932,103.8223047
HarbourFront Centre,BANK OF AMERICA HARBOURFRONT,1.26581280840254,103.818868952573
Alexandra Retail Centre,ALEXANDRA FIRE STATION,1.28842657948272,103.802829527538
321 Clementi,NIL,1.39019617940739,103.891535554961
The Clementi Mall,THE CLEMENTI MALL,1.31489619639366,103.764423054189
IMM,IMM BUILDING,1.3348753,103.7468948
Jem,JEM,1.3332934,103.7432788
Westgate,WESTGATE,1.3341577,103.7427665
Jurong Point,ICA JURONG SCANNING STATION,1.30958912764797,103.711912852285
Pioneer Mall,PIONEER MALL,1.34169239214292,103.697174842118
The Star Vista,ASIA STAR HOTEL,1.30850392590277,103.854724870783
Alexandra Central,ALEXANDRA FIRE STATION,1.28842657948272,103.802829527538
Anchorpoint,ANCHORPOINT SHOPPING CENTRE,1.2889348,103.8056078
OD Mall,GRANTRAL MALL @ CLEMENTI,1.3142705,103.7651475
Boon Lay Shopping Centre,BOON LAY COURT,1.3471317962481,103.707996026992
Grantral Mall,GRANTRAL MALL @ CLEMENTI,1.31427043922294,103.765147487482
Fairprice Hub,CT HUB MALL,1.31203537015087,103.862887035837
Gek Poh Shopping Centre,GEK POH MRT STATION,1.3483403539896,103.698067375909
Rochester Mall,ROCHESTER MALL,1.30540765569962,103.788446680148
Taman Jurong Shopping Centre,GEK POH SHOPPING CENTRE,1.34874357136408,103.697732091001
West Coast Plaza,WEST COAST MARINE FIRE STATION,1.29250760743036,103.762061687065
Plantation Plaza,PLANTATION ACRES,1.35544801614242,103.73464245059
Tengah Mall (2027),DORM 1A TENGAH,1.36272836277485,103.740878068259
Queensway Shopping Centre,ALEXANDRA FIRE STATION,1.28842657948272,103.802829527538
The Rail Mall,THE RAIL MALL,1.35801064169323,103.7679353154
