hdb,latitude,longitude
337 ANG MO KIO AVE 1 SINGAPORE,1.36619678831054,103.841505011903
416 ANG MO KIO AVE 10 SINGAPORE,1.36951942637994,103.848462230319
436 ANG MO KIO AVE 10 SINGAPORE,1.36951942637994,103.848462230319
470 ANG MO KIO AVE 10 SINGAPORE,1.36951942637994,103.848462230319
472 ANG MO KIO AVE 10 SINGAPORE,1.36951942637994,103.848462230319
326 ANG MO KIO AVE 3 SINGAPORE,1.36706933818888,103.847902498352
329 ANG MO KIO AVE 3 SINGAPORE,1.36659908629034,103.846874419073
103 ANG MO KIO AVE 3 SINGAPORE,1.36835858820173,103.847745828569
324 ANG MO KIO AVE 3 SINGAPORE,1.36833392201705,103.846879231399
562 ANG MO KIO AVE 3 SINGAPORE,1.37018144221919,103.85901883576
112 ANG MO KIO AVE 4 SINGAPORE,1.37914986228487,103.84093819913
110 ANG MO KIO AVE 4 SINGAPORE,1.37914986228487,103.84093819913
177 ANG MO KIO AVE 4 SINGAPORE,1.37914986228487,103.84093819913
175 ANG MO KIO AVE 4 SINGAPORE,1.37914986228487,103.84093819913
537 ANG MO KIO AVE 5 SINGAPORE,1.37776263842074,103.843782193293
535 ANG MO KIO AVE 5 SINGAPORE,1.37776263842074,103.843782193293
648 ANG MO KIO AVE 5 SINGAPORE,1.37823859353841,103.843719728887
179 ANG MO KIO AVE 5 SINGAPORE,1.37776263842074,103.843782193293
182 ANG MO KIO AVE 5 SINGAPORE,1.37776263842074,103.843782193293
640 ANG MO KIO AVE 6 SINGAPORE,1.36604106130113,103.842228684962
638 ANG MO KIO AVE 6 SINGAPORE,1.36604106130113,103.842228684962
634 ANG MO KIO AVE 6 SINGAPORE,1.36604106130113,103.842228684962
511 ANG MO KIO AVE 8 SINGAPORE,1.36504462755741,103.852136980515
221 ANG MO KIO AVE 1 SINGAPORE,1.36637938294119,103.839482297653
402 ANG MO KIO AVE 10 SINGAPORE,1.36147707782617,103.855300420198
437 ANG MO KIO AVE 10 SINGAPORE,1.36951942637994,103.848462230319
